,site_id,activationDate,city,csv_name,latitude,line1,longitude,name,postal,state,timezone,address
0,3,2008-07-18,Waltham,,42.371,1 Spruce St.,-71.2396,Bird Precision,2453,MA,-5:00,"1 Spruce St. Waltham, MA 2453"
1,9,2008-10-17,Westborough,,42.2845,126 Turnpike Rd.,-71.6069,,1581,MA,-5:00,"126 Turnpike Rd. Westborough, MA 1581"
2,23,2009-02-12,Ashland,,42.2495,162 Pond Street,-71.4284,126 Self Storage - 19kW,1721,MA,-5:00,"162 Pond Street Ashland, MA 1721"
3,27,2012-05-26,,,42.281815,45 Oaks Street_,-71.728883,Flo's#2 012345678,1545,,-5:00,"45 Oaks Street_ ,  1545"
4,37,2009-01-10,Northborough,Rehill,42.3195,,-71.6412,Rehill Residence,1532,MA,-5:00," Northborough, MA 1532"
5,38,2009-04-23,Sudbury,,42.3847,,-71.4181,Hamilton Residence,1776,MA,-5:00," Sudbury, MA 1776"
6,42,2009-03-17,Shelton,Honey,41.280708,600 Bridgeport Ave.,-73.11837,Honey Cell,6484,CT,-5:00,"600 Bridgeport Ave. Shelton, CT 6484"
7,45,2009-02-25,Darien,Wee,41.087771,410 Hollow Tree Ridge Rd.,-73.49895699999998,Wee Burn Country Club,6820,CT,-5:00,"410 Hollow Tree Ridge Rd. Darien, CT 6820"
8,47,2009-02-03,Worcester,Boucher,42.2321,5 Orrison St.,-71.7919,Boucher Residence - Worcester,1607,MA,-5:00,"5 Orrison St. Worcester, MA 1607"
9,51,2010-06-15,Greenwich,Greenwich,41.517761,500 W. Putnam Ave.,-72.75753,Greenwich Premier Services,6830,CT,-5:00,"500 W. Putnam Ave. Greenwich, CT 6830"
10,71,2009-04-23,Waltham,,42.3699,38A Yetten Terrace,-71.2297,Spencer Organ Company,2453,MA,-5:00,"38A Yetten Terrace Waltham, MA 2453"
11,88,2009-05-17,Griswold,,41.5961,,-71.9283,Davis Residence - Griswold,6351,CT,-5:00," Griswold, CT 6351"
