,site,size
0,3,
1,9,
2,23,
3,27,
4,37,5.07
5,38,
6,42,198.72
7,45,85.5
8,47,5.32
9,51,
10,71,
11,88,
12,113,
13,141,5.16
14,142,
15,143,
16,144,
17,145,4.31
18,146,
19,148,
20,162,
21,164,
22,177,
23,183,
24,191,98.01
25,195,32.76
26,197,98.01
27,199,
28,200,
29,206,44
30,207,
31,208,
32,222,50.49
33,229,99.96
34,238,
35,239,197.97
36,241,98.01
37,247,5.04
38,253,10.8
39,254,99.96
40,270,4.44
41,273,1.17
42,321,
43,330,
44,352,
45,375,
46,379,6.9
47,393,71.28
48,394,
49,396,15.12
50,397,98.01
51,398,
52,409,5.04
53,410,5.04
54,411,4.2
55,412,3.15
56,413,5.04
57,419,5.04
58,421,1.9
59,423,3.78
60,437,
61,438,8.82
62,444,
63,446,3.87
64,448,3.6
65,450,5.88
66,474,
67,482,4.92
68,496,15.12
69,500,32.34
70,518,5.04
71,519,3.6
72,521,5.04
73,522,5.04
74,529,5.04
75,530,2.94
76,545,
77,546,
78,558,
79,561,76.59
80,564,9.72
81,567,
82,569,
83,570,
84,571,
85,574,
86,576,
87,585,112.32
88,614,
89,630,3.33
90,631,
91,632,
92,637,
93,643,
94,644,2.88
95,645,
96,647,6.48
97,655,76.05
98,669,5.18
99,682,594.44
100,694,4.62
101,695,
102,704,
103,706,
104,708,
105,715,739.2
106,716,1016.4
107,726,184.8
108,744,
109,761,
110,788,5.04
111,791,240.24
112,806,78.75
113,812,
114,820,
115,843,80
116,853,
117,860,40.32
118,862,9.4
119,863,9.4
120,864,5.92
121,866,
122,867,
123,870,
124,871,1016.4
125,880,166.38
126,895,1016.4
127,918,121.26
128,919,278.88
129,920,460.8
130,935,
131,948,500.9
132,977,57.33
133,979,206.08
134,988,234
135,1011,
136,1015,5.4
137,1017,8.88
138,1018,9.99
139,1028,
140,1036,4.73
141,1037,6.66
142,1049,480.7
143,1053,7.04
144,1068,5.18
145,1069,3.33
146,1070,2.59
147,1071,3.7
148,1075,5
149,1076,7.77
150,1077,5.92
151,1093,996.22
152,1097,10.08
153,1103,9.24
154,1113,
155,1126,198
156,1130,
157,1135,
158,1138,
159,1163,997.92
160,1168,5.4
161,1203,
162,1209,
163,1213,6.66
164,1214,7.77
165,1215,7.77
166,1216,3.7
167,1217,3.7
168,1218,5
169,1233,5
170,1234,6.11
171,1235,373.75
172,1237,
173,1238,
174,1239,2.96
175,1240,6.66
176,1241,6.66
177,1242,4.44
178,1243,2.96
179,1244,42.55
180,1251,126.73
181,1281,3.33
182,1282,6.11
183,1283,5.18
184,1301,
185,1312,6.66
186,1313,5.55
187,1314,3.89
188,1315,255.64
189,1325,5.18
190,1334,
191,1347,624.68
192,1353,3.7
193,1356,
194,1369,2.59
195,1376,5.7
196,1377,5.18
197,1378,4.56
198,1379,6.84
199,1380,9.99
200,1381,4.56
201,1382,3.42
202,1383,9.5
203,1384,
204,1385,3.42
205,1398,2.59
206,1406,19.8
207,1439,370.5
208,1443,4.18
209,1444,588.82
210,1459,4.44
211,1466,
212,1471,
213,1479,
214,1509,6.66
215,1535,6.84
216,1541,
217,1546,4.56
218,1552,4.07
219,1553,6.46
220,1556,
221,1557,
222,1562,
223,1563,800.03
224,1564,
225,1576,3.04
226,1603,48.4
227,1606,6.84
228,1609,
229,1617,1.88
230,1623,
231,1630,5.32
232,1635,8.64
233,1636,7.5
234,1643,5.76
235,1644,
236,1661,5.7
237,1662,5
238,1663,5
239,1664,9.99
240,1665,3.92
241,1683,5.13
242,1687,
243,1700,639.27
244,1701,197.95
245,1702,210.93
246,1703,230.4
247,1706,9.25
248,1728,
249,1732,
250,1740,75.6
251,1745,76.44
252,1748,29.4
253,1751,214.87
254,1752,76.44
255,1753,15.44
256,1754,22.05
257,1755,15.44
258,1757,
259,1758,54.15
260,1759,82.81
261,1764,
262,1778,5
263,1779,5.13
264,1780,6.08
265,1781,7.98
266,1793,
267,1797,
268,1799,
269,1819,
270,1821,6
271,1824,
272,1826,
273,1830,6.27
274,1833,5
275,1836,
276,1850,8.25
277,1877,82
278,1878,50
279,1881,5
280,1892,4.5
281,1915,30.4
282,1924,
283,1927,
284,1928,114.24
285,1937,
286,1944,
287,1964,123.84
288,1982,993.08
289,1988,
290,1990,4.41
291,1991,0.58
292,1992,4.41
293,1993,6.63
294,1994,4.5
295,1995,4.66
296,2002,534
297,2007,94.08
298,2010,181.44
299,2014,217.14
300,2015,240.5
301,2020,
302,2026,73.26
303,2030,221
304,2033,3.92
305,2034,3.92
306,2035,5.39
307,2036,10.29
308,2037,6.54
309,2039,259.6
310,2061,
311,2062,5.57
312,2063,
313,2070,60
314,2073,50.4
315,2086,
316,2108,
317,2115,9.81
318,2124,
319,2126,
320,2134,
321,2149,
322,2151,325
323,2152,74.75
324,2153,
325,2164,
326,2170,
327,2175,2540.12
328,2177,8.5
329,2178,6.54
330,2191,11.76
331,2197,48.38
332,2199,324.87
333,2203,168.48
334,2227,1209.6
335,2228,1209.6
336,2229,1209.6
337,2230,7.85
338,2235,0.93
339,2236,3628.8
340,2247,20.16
341,2250,4.5
342,2253,
343,2261,
344,2263,
345,2273,11.04
346,2286,
347,2289,
348,2318,7.35
349,2319,6.9
350,2330,
351,2332,902.52
352,2333,654
353,2335,9.66
354,2354,
355,2356,
356,2360,
357,2371,56.05
358,2379,
359,2382,
360,2394,
361,2419,6.21
362,2426,
363,2428,
364,2435,
365,2437,72.6
366,2458,
367,2460,
368,2473,1259.06
369,2474,
370,2475,
371,2476,126.56
372,2481,
373,2482,
374,2483,
375,2484,
376,2485,97.5
377,2494,570.35
378,2496,
379,2499,259.44
380,2500,
381,2501,
382,2503,
383,2511,62.99
384,2516,
385,2517,
386,2520,
387,2529,
388,2533,
389,2538,
390,2543,4000.55
391,2545,
392,2549,5.23
393,2550,9.05
394,2555,
395,2556,
396,2557,
397,2558,997.7
398,2559,
399,2574,37.44
400,2579,
401,2580,
402,2588,8.18
403,2590,
404,2591,6.87
405,2592,
406,2600,
407,2605,
408,2606,23.5
409,2607,
410,2608,
411,2609,9.5
412,2610,
413,2611,
414,2612,5.23
415,2613,109.76
416,2616,
417,2618,
418,2627,
419,2628,61.74
420,2637,
421,2643,
422,2648,
423,2649,
424,2651,
425,2652,11.77
426,2653,14.72
427,2654,
428,2658,658.44
429,2660,
430,2661,12.75
431,2665,5.89
432,2666,5.89
433,2668,4.02
434,2669,9.81
435,2673,
436,2676,
437,2677,
438,2678,
439,2686,
440,2687,
441,2688,77.5
442,2689,
443,2690,
444,2696,11.52
445,2700,10.35
446,2701,
447,2702,3.92
448,2710,10.05
449,2711,7.65
450,2713,
451,2725,
452,2727,
453,2731,178.2
454,2744,
455,2745,
456,2748,133.2
457,2755,
458,2768,750.2
459,2799,
460,2805,
461,2808,
462,2809,
463,2810,
464,2813,
465,2819,
466,2830,2035.69
467,2846,
468,2854,10.46
469,2855,7.56
470,2856,6.54
471,2857,7.14
472,2858,6.12
473,2859,
474,2860,
475,2861,12.1
476,2879,
477,2883,
478,2886,14.74
479,2891,
480,2894,
481,2906,503.25
482,2945,89.28
483,2964,
484,2969,
485,2989,
486,2991,10.7
487,2997,12.73
488,2998,10.36
489,2999,11.77
490,3001,10.2
491,3002,
492,3004,10.2
493,3005,
494,3009,318.73
495,3022,14.56
496,3035,15
497,3053,
498,3057,
499,3062,
500,3063,
501,3076,101.4
502,3079,
503,3083,
504,3086,
505,3088,
506,3090,151.25
507,3093,24.26
508,3095,135.3
509,3103,
510,3112,74.52
511,3113,194.7
512,3115,3515.4
513,3116,224.4
514,3117,99
515,3119,124.2
516,3120,
517,3124,
518,3125,99
519,3126,
520,3132,
521,3133,6478.81
522,3134,6374.5
523,3137,
524,3141,
525,3148,113.76
526,3149,386.1
527,3173,
528,3175,
529,3176,
530,3177,110.72
531,3187,
532,3206,
533,3226,
534,3227,283.03
535,3229,
536,3231,279.45
537,3233,223.56
538,3239,
539,3240,24.18
540,3242,
541,3252,
542,3254,31.86
543,3255,5
544,3256,5
545,3257,
546,3263,31.86
547,3264,31.86
548,3265,
549,3269,220.66
550,3274,82.8
551,3275,
552,3276,113.85
553,3284,122.4
554,3298,7.56
555,3302,18.9
556,3312,302.4
557,3324,
