site_id,activationDate,city,csv_name,latitude,line1,longitude,name,postal,state,timezone
3,2008-07-18,Waltham,,42.371,1 Spruce St.,-71.2396,Bird Precision,2453.0,MA,-5:00
9,2008-10-17,Westborough,,42.2845,126 Turnpike Rd.,-71.6069,,1581.0,MA,-5:00
23,2009-02-12,Ashland,,42.2495,162 Pond Street,-71.4284,126 Self Storage - 19kW,1721.0,MA,-5:00
27,2012-05-26,,,42.281815,45 Oaks Street_,-71.728883,Flo's#2 012345678,1545.0,,-5:00
37,2009-01-10,Northborough,Rehill,42.3195,,-71.6412,Rehill Residence,1532.0,MA,-5:00
38,2009-04-23,Sudbury,,42.3847,,-71.4181,Hamilton Residence,1776.0,MA,-5:00
42,2009-03-17,Shelton,Honey,41.280708000000004,600 Bridgeport Ave.,-73.11837,Honey Cell,6484.0,CT,-5:00
45,2009-02-25,Darien,Wee,41.087771000000004,410 Hollow Tree Ridge Rd.,-73.49895699999999,Wee Burn Country Club,6820.0,CT,-5:00
47,2009-02-03,Worcester,Boucher,42.2321,5 Orrison St.,-71.7919,Boucher Residence - Worcester,1607.0,MA,-5:00
51,2010-06-15,Greenwich,Greenwich,41.517761,500 W. Putnam Ave.,-72.75753,Greenwich Premier Services,6830.0,CT,-5:00
71,2009-04-23,Waltham,,42.3699,38A Yetten Terrace,-71.2297,Spencer Organ Company,2453.0,MA,-5:00
88,2009-05-17,Griswold,,41.5961,,-71.9283,Davis Residence - Griswold,6351.0,CT,-5:00
113,2010-04-17,Danbury,,41.3756,,-73.4534,Owl Power Company,6810.0,CT,-5:00
141,2009-08-14,Hollister,Ferreira,36.831764,1131 Union Heights Rd,-121.426,Ferreira Residence,95023.0,CA,-8:00
142,2009-08-11,Medfield,,42.1876,,-71.3064,Suojanen Residence,2052.0,MA,-5:00
143,2009-08-12,Maynard,,42.4249,,-71.4596,Augustine Residence,1754.0,MA,-5:00
144,2009-08-07,Wocester,,42.2321,,-71.7919,Boover Residence,1607.0,MA,-5:00
145,2009-08-07,South grafton,Kjellberg,42.1744,,-71.6733,Kjellberg Residence,1560.0,MA,-5:00
146,2009-09-10,Dudley,,42.0582,,-71.9283,Buffum Residence,1571.0,MA,-5:00
148,2010-11-02,Lawrence,,42.4191,360 Merrimack Street1,-71.0086,SolrenView test Site's,,MA,-5:00
162,2009-09-08,Acton,,42.4836,,-71.4418,Parker Family,1720.0,MA,-5:00
164,2009-09-14,Stamford,,41.060081,222 Selleck St,-73.545097,JB Moving,6902.0,CT,-5:00
