site_id,name,account_id,status,size,installation_date,pto_date,address,city,state,zip,timezone,latitude,longitude,owner_id,fetch_id
3,Bird Precision,,,,7/18/08,,1 Spruce St.,Waltham,MA,2453,America/New_York,42.371,-71.2396,,
9,,,,,10/17/08,,126 Turnpike Rd.,Westborough,MA,1581,America/New_York,42.2845,-71.6069,,
23,126 Self Storage - 19kW,,,,2/12/09,,162 Pond Street,Ashland,MA,1721,America/New_York,42.2495,-71.4284,,
27,Flo's#2 012345678,,,,5/26/12,,45 Oaks Street_,,,1545,America/New_York,42.281815,-71.728883,,
37,Rehill Residence,,,5.07,1/10/09,,,Northborough,MA,1532,America/New_York,42.3195,-71.6412,,Rehill
38,Hamilton Residence,,,,4/23/09,,,Sudbury,MA,1776,America/New_York,42.3847,-71.4181,,
42,Honey Cell,,,198.72,3/17/09,,600 Bridgeport Ave.,Shelton,CT,6484,America/New_York,41.280708,-73.11837,,Honey
45,Wee Burn Country Club,,,85.5,2/25/09,,410 Hollow Tree Ridge Rd.,Darien,CT,6820,America/New_York,41.087771,-73.498957,,Wee
47,Boucher Residence - Worcester,,,5.32,2/3/09,,5 Orrison St.,Worcester,MA,1607,America/New_York,42.2321,-71.7919,,Boucher
51,Greenwich Premier Services,,,,6/15/10,,500 W. Putnam Ave.,Greenwich,CT,6830,America/New_York,41.517761,-72.75753,,Greenwich
71,Spencer Organ Company,,,,4/23/09,,38A Yetten Terrace,Waltham,MA,2453,America/New_York,42.3699,-71.2297,,
88,Davis Residence - Griswold,,,,5/17/09,,,Griswold,CT,6351,America/New_York,41.5961,-71.9283,,
113,Owl Power Company,,,,4/17/10,,,Danbury,CT,6810,America/New_York,41.3756,-73.4534,,
141,Ferreira Residence,,,5.16,8/14/09,,1131 Union Heights Rd,Hollister,CA,95023,America/Los_Angeles,36.831764,-121.426,,Ferreira
142,Suojanen Residence,,,,8/11/09,,,Medfield,MA,2052,America/New_York,42.1876,-71.3064,,
143,Augustine Residence,,,,8/12/09,,,Maynard,MA,1754,America/New_York,42.4249,-71.4596,,
144,Boover Residence,,,,8/7/09,,,Wocester,MA,1607,America/New_York,42.2321,-71.7919,,
145,Kjellberg Residence,,,4.31,8/7/09,,,South grafton,MA,1560,America/New_York,42.1744,-71.6733,,Kjellberg
146,Buffum Residence,,,,9/10/09,,,Dudley,MA,1571,America/New_York,42.0582,-71.9283,,
148,SolrenView test Site's,,,,11/2/10,,360 Merrimack Street1,Lawrence,MA,,America/New_York,42.4191,-71.0086,,
162,Parker Family,,,,9/8/09,,,Acton,MA,1720,America/New_York,42.4836,-71.4418,,
164,JB Moving,,,,9/14/09,,222 Selleck St,Stamford,CT,6902,America/New_York,41.060081,-73.545097,,
177,"Davis Residence - Lancaster, MA",,,,9/30/09,,,Lancaster,MA,1523,America/New_York,42.4851,-71.6792,,
183,Monnick Supply,,,,10/26/09,,759 Waverly St.,Framingham,MA,1702,America/New_York,42.272301,-71.429105,,Monnick
191,Lincoln Elementary School,,,98.01,12/8/09,,420 Myrtle,Canon city,CO,81212,America/Denver,38.432633,-105.23929,,Lincoln
195,Stage Stop Candy,,,32.76,2/18/10,,411 Main Street,Dennis port,MA,2639,America/New_York,41.6657,-70.131622,,Stage
197,Skyline Elementary School,,,98.01,12/2/09,,2855 N. 9th St.,Canon city,CO,81212,America/Denver,38.4677,-105.23891,,Skyline
199,Kennedy Residence - Rutland,,,,11/11/09,,,Rutland,MA,1543,America/New_York,42.3695,-71.9481,,
200,Dick Residence,,,,11/3/09,,,Worcester,MA,1602,America/New_York,42.2705,-71.8512,,
206,Lighthouse Masonry,,,44,10/28/09,,,New bedford,MA,2747,America/New_York,41.726449,-70.963845,,Lighthouse
207,Holiday Farm,,,,11/11/09,,,Berlin,MA,1503,America/New_York,42.361125,-71.628594,,
208,Lapine residence,,,,11/30/09,,,West brookfield,MA,,America/New_York,42.4072,-71.3824,,Lapine
222,Canon City Middle School System,,,50.49,1/6/10,,1215 main Street,Canon city,CO,81212,America/Denver,38.445087,-105.23146,,Canon
229,McKinley Elementary School,,,99.96,12/22/09,,1240 McKinley St.,Canon city,CO,81212,America/Denver,38.431502,-105.21424,,McKinley
238,Pierce Residence,,,,12/2/09,,,Concord,MA,1742,America/New_York,42.459915,-71.347799,,Pierce
239,Canon City High School,,,197.97,3/1/09,,1313 College Ave,Canon city,CO,81212,America/Denver,38.449802,-105.23292,,Canon
241,Harrison Middle School,,,98.01,1/11/10,,920 Feild Avenue,Canon city,CO,81212,America/Denver,38.460568,-105.25342,,Harrison
247,Fite Residence,,,5.04,4/1/10,,,Northborough,MA,1532,America/New_York,42.310129,-71.655451,,Fite
253,Canon City Bus Garage,,,10.8,12/11/09,,1030 S. 4st,Canon city,CO,81212,America/Denver,38.46055,-105.25359,,Canon
254,Washington Elementary School,,,99.96,1/6/10,,606 N. 9th St.,Canon city,CO,81212,America/Denver,38.477871,-105.36821,,Washington
270,Brandom Residence,,,4.44,9/17/12,,239 Old Littleton Road,Harvard,MA,1451,America/New_York,42.5164,-71.5475,,Brandom
273,Rykbost Residence,,,1.17,3/9/10,,,Hudson,MA,1749,America/New_York,42.39117,-71.567684,,Rykbost
321,Conigliaro Industries,,,,4/7/10,,701 Waverly Street,Framingham,MA,1702,America/New_York,42.273418,-71.426969,,
330,Canton Water Pollution Control Facility,,,,5/4/10,,50 Old River Rd.,Canton,CT,6019,America/New_York,41.818673,-72.922047,,
352,Site 149,,,,4/29/10,,,Windsor,CT,6095,America/New_York,41.851755,-72.643514,,
375,Grafton High School,,,,7/8/10,,24 Providence Rd.,Grafton,MA,1519,America/New_York,42.21112,-71.692303,,
379,Kaufman-Kraft House,,,6.9,7/15/10,,307 Brookline St.,Needham,MA,2492,America/New_York,42.286848,-71.22755,,
393,Rocky Ford - Washington Primary School,,,71.28,1/11/10,,709 S. 11th St.,Rocky ford,CO,81067,America/Denver,38.047023,-103.72032,,Rocky
394,Rocky Ford - Jefferson Middle School,,,,6/21/10,,901 S. 11th St.,Rocky ford,CO,81067,America/Denver,38.045826,-103.72039,,Rocky
396,Rocky Ford High School - AG Building,,,15.12,6/23/10,,100 W. Washington,Rocky ford,CO,81067,America/Denver,38.043964,-103.73298,,Rocky
397,Rocky Ford High School,,,98.01,6/11/10,,100 W. Washington,Rocky ford,CO,81067,America/Denver,38.043964,-103.73298,,Rocky
398,Rocky Ford High School - Bus Garage,,,,5/17/10,,100 W. Washington,Rocky ford,CO,81067,America/Denver,38.043964,-103.73298,,
409,Fix Residence,,,5.04,6/10/10,,,Marlborough,MA,1752,America/New_York,42.346806,-71.547991,,Fix
410,Haran-Costello Residence,,,5.04,6/9/10,,,Jefferson,MA,1522,America/New_York,42.3803486,-71.8864407,,Haran_Costello
411,Contaxes Residence,,,4.2,6/10/10,,,Lunenburg,MA,1462,America/New_York,42.594714,-71.726229,,Contaxes
412,Gag Residence,,,3.15,6/10/10,,,Roslindale,MA,2101,America/New_York,42.286625,-71.131369,,Gag
413,"Jefferson Residence, - Jefferson, MA",,,5.04,6/9/10,,,Jefferson,MA,1522,America/New_York,42.362235,-71.8862,,Jefferson
419,Simpson Residence,,,5.04,6/9/10,,,Westborough,MA,1582,America/New_York,42.283096,-71.600318,,Simpson
421,MSF/V,,,1.9,6/10/10,,,Holden,MA,1520,America/New_York,42.346587,-71.855617,,MSF_V
423,Herriott Residence,,,3.78,7/15/10,,,Westminster,MA,1473,America/New_York,42.579587,-71.890514,,Herriott
437,DCS#142,,,,9/23/10,,,Woodstock,CT,6281,America/New_York,41.954505,-71.981056,,
438,Arnold Residence - Harvard,,,8.82,7/2/10,,,Harvard,MA,1451,America/New_York,42.53494,-71.585165,,Arnold
444,Suburban Athletic Club,,,,7/1/10,,10 Roxanna St,Framingham,MA,1702,America/New_York,42.274484,-71.410842,,
446,Leitheiser Residence,,,3.87,9/20/10,,,,,,America/New_York,,,,Leitheiser
448,Savage Residence,,,3.6,8/20/10,,,Revere,MA,,America/New_York,42.4084,-71.012,,Savage
450,Sprayregen Residence,,,5.88,7/14/10,,,,,,America/New_York,,,,Sprayregen
474,,,,,7/30/10,,33 Pendleton Dr,Hebron,CT,6248,America/New_York,41.6581,-72.3612,,
482,DCS 164,,,4.92,7/28/10,,,Columbia,CT,6237,America/New_York,41.6956,-72.3074,,DCS
496,Nature's Classroom - East Lodge,,,15.12,8/13/10,,,Charlton,MA,1507,America/New_York,42.1425,-71.9757,,Nature_s
500,The Governor's Academy - Gym,,,32.34,11/1/10,,1 Elm St.,Byfield,MA,1922,America/New_York,42.7497,-70.8983,,The
