site_id,name,activationDate,line1,city,state,postal,timezone,latitude,longitude,csv_name,size
3,Bird Precision,2008-07-18,1 Spruce St.,Waltham,MA,2453,-5:00,42.371,-71.2396,,
9,,2008-10-17,126 Turnpike Rd.,Westborough,MA,1581,-5:00,42.2845,-71.6069,,
23,126 Self Storage - 19kW,2009-02-12,162 Pond Street,Ashland,MA,1721,-5:00,42.2495,-71.4284,,
27,Flo's#2 012345678,2012-05-26,45 Oaks Street_,,,1545,-5:00,42.281815,-71.728883,,
37,Rehill Residence,2009-01-10,,Northborough,MA,1532,-5:00,42.3195,-71.6412,Rehill,5.07
38,Hamilton Residence,2009-04-23,,Sudbury,MA,1776,-5:00,42.3847,-71.4181,,
42,Honey Cell,2009-03-17,600 Bridgeport Ave.,Shelton,CT,6484,-5:00,41.280708000000004,-73.11837,Honey,198.72
45,Wee Burn Country Club,2009-02-25,410 Hollow Tree Ridge Rd.,Darien,CT,6820,-5:00,41.087771000000004,-73.49895699999999,Wee,85.5
47,Boucher Residence - Worcester,2009-02-03,5 Orrison St.,Worcester,MA,1607,-5:00,42.2321,-71.7919,Boucher,5.32
51,Greenwich Premier Services,2010-06-15,500 W. Putnam Ave.,Greenwich,CT,6830,-5:00,41.517761,-72.75753,Greenwich,
71,Spencer Organ Company,2009-04-23,38A Yetten Terrace,Waltham,MA,2453,-5:00,42.3699,-71.2297,,
88,Davis Residence - Griswold,2009-05-17,,Griswold,CT,6351,-5:00,41.5961,-71.9283,,
113,Owl Power Company,2010-04-17,,Danbury,CT,6810,-5:00,41.3756,-73.4534,,
141,Ferreira Residence,2009-08-14,1131 Union Heights Rd,Hollister,CA,95023,-8:00,36.831764,-121.426,Ferreira,5.16
142,Suojanen Residence,2009-08-11,,Medfield,MA,2052,-5:00,42.1876,-71.3064,,
143,Augustine Residence,2009-08-12,,Maynard,MA,1754,-5:00,42.4249,-71.4596,,
144,Boover Residence,2009-08-07,,Wocester,MA,1607,-5:00,42.2321,-71.7919,,
145,Kjellberg Residence,2009-08-07,,South grafton,MA,1560,-5:00,42.1744,-71.6733,Kjellberg,4.31
146,Buffum Residence,2009-09-10,,Dudley,MA,1571,-5:00,42.0582,-71.9283,,
148,SolrenView test Site's,2010-11-02,360 Merrimack Street1,Lawrence,MA,,-5:00,42.4191,-71.0086,,
162,Parker Family,2009-09-08,,Acton,MA,1720,-5:00,42.4836,-71.4418,,
164,JB Moving,2009-09-14,222 Selleck St,Stamford,CT,6902,-5:00,41.060081,-73.545097,,
177,"Davis Residence - Lancaster, MA",2009-09-30,,Lancaster,MA,1523,-5:00,42.4851,-71.6792,,
183,Monnick Supply,2009-10-26,759 Waverly St.,Framingham,MA,1702,-5:00,42.272301,-71.429105,Monnick,
191,Lincoln Elementary School,2009-12-08,420 Myrtle,Canon city,CO,81212,-7:00,38.432633,-105.23929,Lincoln,98.01
195,Stage Stop Candy,2010-02-18,411 Main Street,Dennis port,MA,2639,-5:00,41.6657,-70.131622,Stage,32.76
197,Skyline Elementary School,2009-12-02,2855 N. 9th St.,Canon city,CO,81212,-7:00,38.4677,-105.23891,Skyline,98.01
199,Kennedy Residence - Rutland,2009-11-11,,Rutland,MA,1543,-5:00,42.3695,-71.9481,,
200,Dick Residence,2009-11-03,,Worcester,MA,1602,-5:00,42.2705,-71.8512,,
206,Lighthouse Masonry,2009-10-28,,New bedford,MA,2747,-5:00,41.726449,-70.96384499999999,Lighthouse,44.0
207,Holiday Farm,2009-11-11,,Berlin,MA,1503,-5:00,42.361125,-71.62859399999999,,
208,Lapine residence,2009-11-30,,West brookfield,MA,,-5:00,42.4072,-71.3824,Lapine,
222,Canon City Middle School System,2010-01-06,1215 main Street,Canon city,CO,81212,-7:00,38.445087,-105.23146000000001,Canon,50.49
229,McKinley Elementary School,2009-12-22,1240 McKinley St.,Canon city,CO,81212,-7:00,38.431502,-105.21423999999999,McKinley,99.96
238,Pierce Residence,2009-12-02,,Concord,MA,1742,-5:00,42.459915,-71.347799,Pierce,
239,Canon City High School,2009-03-01,1313 College Ave,Canon city,CO,81212,-7:00,38.449802000000005,-105.23292,Canon,197.97
241,Harrison Middle School,2010-01-11,920 Feild Avenue,Canon city,CO,81212,-7:00,38.460568,-105.25341999999999,Harrison,98.01
247,Fite Residence,2010-04-01,,Northborough,MA,1532,-5:00,42.310128999999996,-71.655451,Fite,5.04
253,Canon City Bus Garage,2009-12-11,1030 S. 4st,Canon city,CO,81212,-7:00,38.46055,-105.25358999999999,Canon,10.8
254,Washington Elementary School,2010-01-06,606 N. 9th St.,Canon city,CO,81212,-7:00,38.477871,-105.36821,Washington,99.96
270,Brandom Residence,2012-09-17,239 Old Littleton Road,Harvard,MA,1451,-5:00,42.5164,-71.5475,Brandom,4.44
273,Rykbost Residence,2010-03-09,,Hudson,MA,1749,-5:00,42.39117,-71.567684,Rykbost,1.17
321,Conigliaro Industries,2010-04-07,701 Waverly Street,Framingham,MA,1702,-5:00,42.273418,-71.426969,,
330,Canton Water Pollution Control Facility,2010-05-04,50 Old River Rd.,Canton,CT,6019,-5:00,41.818673,-72.92204699999999,,
352,Site 149,2010-04-29,,Windsor,CT,6095,-5:00,41.851755,-72.643514,,
375,Grafton High School,2010-07-08,24 Providence Rd.,Grafton,MA,1519,-5:00,42.21112,-71.69230300000001,,
379,Kaufman-Kraft House,2010-07-15,307 Brookline St.,Needham,MA,2492,-5:00,42.286848,-71.22755,,6.9
393,Rocky Ford - Washington Primary School,2010-01-11,709 S. 11th St.,Rocky ford,CO,81067,-7:00,38.047022999999996,-103.72032,Rocky,71.28
394,Rocky Ford - Jefferson Middle School,2010-06-21,901 S. 11th St.,Rocky ford,CO,81067,-7:00,38.045826,-103.72039000000001,Rocky,
396,Rocky Ford High School - AG Building,2010-06-23,100 W. Washington,Rocky ford,CO,81067,-7:00,38.043964,-103.73298,Rocky,15.12
397,Rocky Ford High School,2010-06-11,100 W. Washington,Rocky ford,CO,81067,-7:00,38.043964,-103.73298,Rocky,98.01
398,Rocky Ford High School - Bus Garage,2010-05-17,100 W. Washington,Rocky ford,CO,81067,-7:00,38.043964,-103.73298,,
409,Fix Residence,2010-06-10,,Marlborough,MA,1752,-5:00,42.346806,-71.54799100000001,Fix,5.04
410,Haran-Costello Residence,2010-06-09,,Jefferson,MA,1522,-5:00,42.380348600000005,-71.8864407,Haran_Costello,5.04
411,Contaxes Residence,2010-06-10,,Lunenburg,MA,1462,-5:00,42.594714,-71.726229,Contaxes,4.2
412,Gag Residence,2010-06-10,,Roslindale,MA,2101,-5:00,42.286625,-71.13136899999999,Gag,3.15
413,"Jefferson Residence, - Jefferson, MA",2010-06-09,,Jefferson,MA,1522,-5:00,42.362235,-71.8862,Jefferson,5.04
419,Simpson Residence,2010-06-09,,Westborough,MA,1582,-5:00,42.283096,-71.600318,Simpson,5.04
421,MSF/V,2010-06-10,,Holden,MA,1520,-5:00,42.346587,-71.85561700000001,MSF_V,1.9
423,Herriott Residence,2010-07-15,,Westminster,MA,1473,-5:00,42.579587,-71.890514,Herriott,3.78
437,DCS#142,2010-09-23,,Woodstock,CT,6281,-5:00,41.954505,-71.98105600000001,,
